256 256
-4.118 -5.859 -7.29061
-4.071 -5.859 -7.26737
-4.024 -5.859 -7.24445
-3.976 -5.859 -7.22727
-3.929 -5.859 -7.21852
-3.882 -5.859 -7.2163
-3.835 -5.859 -7.21534
-3.788 -5.859 -7.21319
-3.741 -5.859 -7.21185
-3.694 -5.859 -7.21605
-3.647 -5.859 -7.22486
-3.6 -5.859 -7.23378
-3.553 -5.859 -7.23849
-3.506 -5.859 -7.24
-3.459 -5.859 -7.24338
-3.412 -5.859 -7.24988
-3.365 -5.859 -7.253
-3.318 -5.859 -7.24566
-3.271 -5.859 -7.22841
-3.224 -5.859 -7.20768
-3.176 -5.859 -7.18968
-3.129 -5.859 -7.17562
-3.082 -5.859 -7.16401
-3.035 -5.859 -7.15277
-2.988 -5.859 -7.139
-2.941 -5.859 -7.12164
-2.894 -5.859 -7.10008
-2.847 -5.859 -7.07675
-2.8 -5.859 -7.05289
-2.753 -5.859 -7.03241
-2.706 -5.859 -7.01507
-2.659 -5.859 -6.9979
-2.612 -5.859 -6.97662
-2.565 -5.859 -6.9494
-2.518 -5.859 -6.91951
-2.471 -5.859 -6.89366
-2.424 -5.859 -6.87557
-2.376 -5.859 -6.865
-2.329 -5.859 -6.85966
-2.282 -5.859 -6.8558
-2.235 -5.859 -6.84963
-2.188 -5.859 -6.8367
-2.141 -5.859 -6.81636
-2.094 -5.859 -6.79139
-2.047 -5.859 -6.77036
-2.0 -5.859 -6.758
-1.953 -5.859 -6.7549
-1.906 -5.859 -6.75734
-1.859 -5.859 -6.75981
-1.812 -5.859 -6.75709
-1.765 -5.859 -6.7477
-1.718 -5.859 -6.73373
-1.671 -5.859 -6.72066
-1.624 -5.859 -6.71348
-1.576 -5.859 -6.71387
-1.529 -5.859 -6.72114
-1.482 -5.859 -6.73236
-1.435 -5.859 -6.74635
-1.388 -5.859 -6.76351
-1.341 -5.859 -6.78505
-1.294 -5.859 -6.8103
-1.247 -5.859 -6.83248
-1.2 -5.859 -6.8454
-1.153 -5.859 -6.84903
-1.106 -5.859 -6.85129
-1.059 -5.859 -6.86141
-1.012 -5.859 -6.88111
-0.965 -5.859 -6.90395
-0.918 -5.859 -6.91889
-0.871 -5.859 -6.92115
-0.824 -5.859 -6.91124
-0.776 -5.859 -6.89742
-0.729 -5.859 -6.885
-0.682 -5.859 -6.87774
-0.635 -5.859 -6.87709
-0.588 -5.859 -6.8828
-0.541 -5.859 -6.89424
-0.494 -5.859 -6.90891
-0.447 -5.859 -6.92213
-0.4 -5.859 -6.92839
-0.353 -5.859 -6.9292
-0.306 -5.859 -6.92687
-0.259 -5.859 -6.9245
-0.212 -5.859 -6.92237
-0.165 -5.859 -6.91817
-0.118 -5.859 -6.91104
-0.071 -5.859 -6.90146
-0.024 -5.859 -6.89214
0.024 -5.859 -6.88542
0.071 -5.859 -6.8845
